event,laps
70th Anniversary Grand Prix,52
Abu Dhabi Grand Prix,58
Australian Grand Prix,58
Austrian Grand Prix,71
Azerbaijan Grand Prix,51
Bahrain Grand Prix,57
Belgian Grand Prix,44
Brazilian Grand Prix,71
British Grand Prix,52
Canadian Grand Prix,70
Chinese Grand Prix,56
Dutch Grand Prix,72
Eifel Grand Prix,60
Emilia Romagna Grand Prix,63
French Grand Prix,53
German Grand Prix,67
Hungarian Grand Prix,70
Italian Grand Prix,53
Japanese Grand Prix,53
Mexico City Grand Prix,71
Miami Grand Prix,57
Monaco Grand Prix,78
Portuguese Grand Prix,66
Qatar Grand Prix,57
Russian Grand Prix,53
Ṣo Paulo Grand Prix,71
Sakhir Grand Prix,87
Saudi Arabian Grand Prix,50
Singapore Grand Prix,61
Spanish Grand Prix,66
Styrian Grand Prix,71
Turkish Grand Prix,58
Tuscan Grand Prix,59
United States Grand Prix,56
